,r1,r2,p1,p2,gesture
100,31,29,43,46,2
101,31,29,43,46,2
102,31,29,43,46,2
103,32,30,43,46,2
104,32,30,43,46,2
105,32,30,43,46,2
106,32,30,43,46,2
107,32,30,43,46,2
108,32,30,41,45,2
109,32,30,31,45,2
110,33,29,23,45,2
111,33,29,8,44,2
112,34,30,-3,45,2
113,36,27,-5,45,2
114,37,26,-4,44,2
115,37,27,-2,44,2
116,35,30,1,43,2
117,32,31,18,38,2
118,29,33,35,46,2
119,29,34,46,45,2
120,29,34,52,45,2
121,31,35,54,45,2
122,30,36,53,44,2
123,30,36,52,43,2
124,30,36,51,43,2
125,31,37,49,42,2
126,31,37,48,42,2
127,31,37,47,42,2
128,31,37,45,41,2
129,32,37,45,41,2
130,32,37,45,41,2